Frame,ID,Type
47,2031,truck
51,2038,car
3,2044,truck
6,2048,car
9,2052,truck
11,2053,truck
13,2056,car
20,2058,car
23,2060,car
28,2061,truck
34,2064,car
34,2065,car
40,2067,car
44,2068,car
51,2074,car
3,2077,truck
3,2078,car
3,2079,car
3,2080,car
3,2081,car
3,2082,car
3,2083,car
3,2084,car
6,2086,car
6,2087,car
6,2088,car
6,2089,car
8,2090,car
12,2091,car
15,2094,car
31,2102,truck
33,2103,car
52,2109,car
5,2111,car
5,2114,truck
15,2125,car
15,2126,car
16,2130,truck
18,2133,car
19,2136,car
29,2146,car
33,2148,car
41,2152,truck
46,2159,car
53,2167,car
8,2172,truck
11,2175,truck
11,2176,car
11,2178,car
11,2179,car
12,2180,car
12,2181,truck
12,2182,truck
17,2187,car
24,2192,car
37,2197,car
3,2206,car
17,2217,truck
24,2221,car
52,2234,truck
3,2239,car
3,2241,car
3,2242,car
3,2243,car
3,2244,car
3,2247,car
4,2248,car
6,2253,car
7,2256,car
12,2264,truck
16,2270,car
21,2274,car
22,2275,truck
32,2298,car
36,2299,car
38,2301,truck
38,2302,car
43,2311,truck
44,2313,truck
49,2320,car
5,2330,truck
5,2331,truck
6,2334,car
8,2335,car
12,2339,car
17,2342,car
33,2350,car
45,2364,car
47,2365,truck
3,2372,car
4,2379,truck
9,2384,car
12,2387,car
16,2392,car
21,2398,car
22,2402,car
37,2419,truck
37,2420,truck
3,2437,car
3,2438,car
3,2439,truck
3,2440,car
3,2441,truck
3,2442,car
3,2443,truck
3,2444,car
3,2445,bus
3,2446,car
3,2447,car
4,2454,car
4,2455,car
8,2462,truck
10,2463,car
11,2466,car
13,2471,truck
17,2474,car
22,2476,bus
28,2481,car
28,2483,truck
39,2496,truck
44,2500,car
50,2502,truck
53,2504,car
3,2506,truck
3,2507,car
3,2508,truck
3,2509,car
3,2510,car
5,2513,car
7,2515,car
10,2518,car
11,2521,car
12,2522,car
16,2524,car
20,2529,car
20,2530,car
35,2535,car
37,2536,car
38,2540,truck
39,2542,truck
3,2557,car
3,2558,truck
3,2559,truck
3,2560,car
3,2561,car
3,2562,car
9,2569,car
11,2570,car
14,2573,car
15,2575,car
17,2576,car
20,2579,truck
25,2584,car
28,2586,truck
32,2594,car
34,2595,car
34,2596,truck
39,2601,car
42,2603,car
6,2615,car
32,2625,car
36,2627,truck
4,2638,truck
19,2639,car
37,2642,car
39,2643,truck
50,2649,truck
52,2652,truck
3,2655,truck
4,2657,car
21,2661,car
28,2665,car
31,2668,car
32,2670,car
49,2678,car
51,2679,bus
51,2680,car
3,2686,car
3,2687,car
3,2688,car
3,2690,car
4,2692,truck
4,2695,car
4,2697,truck
17,2707,car
17,2708,truck
17,2709,truck
21,2713,car
21,2714,car
23,2717,car
24,2718,car
31,2724,car
31,2725,car
32,2728,car
33,2730,car
38,2735,car
38,2736,car
41,2738,car
42,2739,truck
47,2746,car
6,2759,truck
6,2760,car
6,2761,car
6,2762,car
8,2770,car
30,2790,truck
34,2796,car
41,2806,car
52,2816,truck
53,2820,truck
53,2821,car
53,2822,car
8,2824,car
11,2825,car
21,2828,truck
44,2830,car
44,2831,car
44,2832,car
47,2833,car
4,2841,truck
4,2842,car
4,2843,car
4,2846,truck
4,2848,car
8,2851,car
9,2852,truck
12,2855,car
15,2858,truck
16,2860,car
17,2862,car
20,2865,car
20,2866,car
23,2869,car
24,2870,truck
25,2871,car
25,2874,bus
28,2876,car
32,2879,car
34,2884,car
35,2885,car
36,2886,car
36,2888,car
38,2892,car
39,2893,car
39,2895,car
40,2896,car
43,2900,car
43,2901,car
47,2906,car
47,2907,car
4,2918,car
4,2919,car
4,2920,car
4,2921,truck
4,2922,truck
4,2923,car
4,2924,car
4,2925,truck
4,2926,car
4,2929,car
5,2930,car
8,2933,car
10,2934,car
11,2935,truck
16,2937,car
17,2939,car
22,2945,truck
23,2946,truck
32,2954,car
38,2959,car
44,2965,car
50,2974,car
53,2976,truck
3,2978,car
3,2979,truck
3,2980,truck
3,2981,truck
3,2982,car
3,2983,car
3,2984,car
3,2985,car
3,2986,car
3,2988,car
3,2989,truck
3,2990,car
21,3007,car
22,3008,car
26,3012,car
3,3026,truck
3,3028,car
3,3029,car
3,3030,car
10,3037,car
19,3043,car
19,3044,truck
19,3045,truck
19,3047,truck
40,3057,truck
40,3058,car
40,3059,car
41,3060,car
42,3061,car
43,3062,car
43,3064,truck
45,3065,car
47,3067,truck
52,3072,car
4,3075,car
4,3076,car
4,3079,car
5,3083,car
5,3085,car
10,3091,car
10,3092,truck
12,3094,truck
12,3095,car
13,3096,truck
14,3100,car
16,3105,truck
18,3109,car
20,3110,car
35,3125,car
36,3127,car
37,3128,car
38,3131,car
43,3137,car
46,3141,car
46,3142,car
52,3148,car
3,3150,car
3,3152,car
3,3153,car
3,3154,car
3,3155,truck
3,3156,car
3,3160,truck
7,3165,car
9,3169,car
10,3170,car
11,3173,car
17,3178,car
20,3181,car
21,3183,car
30,3192,car
36,3202,car
38,3204,truck
42,3207,car
42,3208,car
45,3214,car
49,3221,car
50,3223,car
3,3229,car
3,3230,truck
5,3234,car
6,3236,car
7,3238,car
8,3239,car
11,3241,car
29,3247,truck
29,3248,car
33,3251,car
35,3254,truck
42,3260,car
45,3262,truck
47,3270,car
52,3282,car
3,3289,truck
3,3291,truck
5,3297,car
5,3299,truck
7,3302,car
11,3307,car
20,3314,car
21,3315,car
21,3319,car
24,3320,car
24,3321,car
30,3325,car
30,3326,car
32,3328,car
37,3332,bus
39,3333,car
43,3336,truck
45,3338,car
49,3340,car
49,3342,car
50,3343,car
6,3344,car
6,3345,car
6,3346,car
6,3347,car
6,3348,car
6,3349,car
6,3350,truck
7,3351,truck
7,3355,car
7,3356,car
7,3357,car
7,3359,car
8,3361,car
12,3366,car
20,3373,car
21,3379,car
22,3381,car
22,3384,car
23,3385,car
29,3390,car
31,3391,truck
43,3395,car
44,3398,car
45,3399,car
45,3400,car
45,3401,car
3,3407,truck
3,3408,car
3,3409,car
6,3417,truck
6,3419,car
7,3421,car
8,3422,car
21,3435,car
26,3439,car
31,3445,car
33,3449,car
37,3450,car
40,3452,car
48,3453,car
3,3459,truck
4,3462,truck
5,3466,car
5,3467,car
5,3468,car
7,3471,car
8,3473,car
9,3475,car
12,3478,car
13,3479,car
19,3491,car
29,3498,car
37,3505,car
46,3512,car
3,3524,car
3,3526,truck
6,3531,car
7,3532,car
7,3534,car
8,3537,car
14,3545,car
23,3554,car
24,3557,car
29,3562,car
32,3567,car
36,3569,car
37,3570,truck
40,3572,car
45,3575,car
50,3581,truck
3,3587,car
3,3588,car
3,3589,car
3,3590,car
4,3591,truck
4,3592,car
4,3593,car
4,3594,car
4,3595,car
4,3596,car
5,3597,truck
9,3601,truck
12,3604,car
15,3606,car
19,3608,truck
21,3613,car
23,3614,car
25,3617,car
26,3618,car
37,3624,car
39,3626,car
43,3627,truck
3,3629,car
3,3631,car
3,3632,car
3,3633,truck
4,3634,car
5,3637,car
17,3646,car
20,3648,car
26,3649,car
31,3653,car
10,3668,car
10,3669,car
14,3675,truck
14,3676,car
16,3677,car
16,3680,car
16,3681,car
18,3683,car
22,3689,car
25,3692,car
27,3694,car
27,3695,truck
33,3707,truck
38,3712,car
42,3719,car
51,3724,car
3,3734,car
3,3735,car
3,3737,car
3,3739,car
3,3740,car
3,3741,car
5,3748,car
5,3749,car
8,3754,car
9,3755,truck
9,3757,car
9,3758,truck
11,3761,car
12,3765,car
13,3769,truck
16,3772,car
16,3774,car
19,3777,car
21,3778,truck
34,3784,car
41,3789,car
44,3791,car
45,3793,car
49,3797,truck
4,3802,car
4,3803,car
8,3808,car
12,3809,car
15,3812,car
15,3813,truck
15,3814,car
16,3816,car
19,3821,car
23,3824,truck
23,3826,car
28,3829,car
31,3831,car
32,3832,truck
38,3835,car
3,3842,car
3,3844,car
3,3846,car
4,3848,car
7,3850,car
9,3854,car
11,3858,car
12,3859,car
12,3860,car
14,3861,car
14,3864,car
19,3872,car
20,3873,car
20,3874,car
22,3876,car
26,3882,car
43,3894,truck
7,3905,car
11,3911,car
11,3912,car
33,3929,car
43,3935,car
48,3938,car
3,3944,car
3,3945,car
11,3953,car
28,3962,car
38,3971,car
51,3975,car
3,3978,car
3,3979,car
3,3981,car
3,3982,truck
3,3983,car
3,3984,bus
3,3985,car
3,3986,car
3,3987,car
8,3992,truck
15,3995,bus
16,3997,car
20,4000,car
26,4004,car
29,4006,car
34,4010,truck
39,4015,car
40,4016,car
45,4021,car
52,4026,car
7,4032,truck
8,4033,car
9,4034,truck
22,4042,car
24,4043,car
25,4046,truck
38,4060,car
40,4061,car
4,4075,car
7,4079,car
7,4081,car
8,4082,car
9,4083,car
13,4087,car
13,4088,car
32,4102,car
33,4103,car
49,4113,car
3,4118,truck
3,4119,car
3,4120,car
3,4122,car
3,4123,truck
5,4127,car
7,4128,car
12,4133,car
13,4134,truck
23,4140,car
3,4146,car
3,4147,car
3,4148,car
3,4149,car
3,4151,car
3,4152,car
3,4153,car
9,4161,car
11,4164,car
15,4167,car
16,4168,car
23,4174,car
47,4177,car
3,4181,car
4,4188,car
4,4189,truck
4,4190,car
4,4194,truck
9,4202,truck
23,4209,car
25,4210,car
33,4214,car
34,4215,truck
37,4217,car
40,4222,truck
44,4224,car
49,4230,car
49,4231,truck
6,4239,car
52,4251,car
4,4261,car
4,4262,truck
9,4265,car
11,4266,truck
15,4270,truck
18,4271,car
36,4276,truck
37,4277,car
37,4279,truck
45,4285,car
45,4287,car
45,4288,car
46,4291,car
50,4295,car
1,4299,car
3,4302,truck
3,4304,car
3,4306,car
3,4307,truck
3,4308,truck
3,4309,car
6,4318,car
10,4331,car
14,4338,car
14,4340,car
19,4345,car
21,4348,truck
24,4350,car
26,4352,truck
26,4353,truck
30,4358,car
31,4360,car
33,4364,truck
34,4366,truck
37,4369,car
44,4373,car
46,4375,car
3,4387,truck
4,4392,car
4,4393,car
4,4394,car
8,4402,car
11,4406,car
12,4407,car
15,4408,car
15,4409,car
22,4414,truck
23,4415,truck
28,4418,truck
37,4427,truck
40,4429,car
41,4433,car
48,4437,truck
49,4438,car
52,4440,car
52,4441,truck
7,4448,car
12,4450,truck
17,4451,car
26,4454,truck
28,4458,car
30,4460,truck
35,4464,truck
38,4468,car
48,4472,truck
50,4475,car
52,4477,car
16,4483,car
19,4484,car
29,4485,car
31,4486,car
40,4490,car
3,4502,car
3,4503,car
3,4504,car
4,4506,car
4,4507,car
6,4511,car
13,4520,truck
13,4522,car
14,4525,car
17,4527,truck
19,4529,truck
22,4534,truck
27,4543,car
30,4546,car
31,4548,car
38,4553,truck
42,4556,car
42,4557,car
50,4570,truck
3,4573,car
3,4576,car
3,4578,car
3,4579,truck
3,4580,car
3,4581,car
3,4582,car
3,4583,car
3,4584,truck
9,4590,car
11,4595,car
12,4596,car
13,4598,car
13,4599,car
22,4605,car
26,4609,car
26,4610,car
27,4613,truck
34,4617,car
39,4619,car
39,4620,car
39,4621,car
3,4628,car
3,4629,truck
3,4630,car
6,4633,car
7,4634,car
18,4641,car
33,4647,car
33,4649,car
35,4651,car
46,4658,car
46,4659,car
48,4666,car
48,4668,car
49,4670,car
51,4672,car
52,4673,truck
3,4678,truck
3,4679,car
3,4680,truck
3,4681,car
10,4694,truck
10,4695,truck
12,4700,car
13,4701,car
15,4704,car
16,4705,car
18,4706,truck
24,4710,car
24,4711,truck
26,4713,truck
33,4721,car
33,4722,car
43,4726,car
3,4737,car
3,4738,car
3,4740,truck
4,4745,car
4,4747,car
4,4748,truck
5,4751,truck
6,4753,car
6,4754,car
11,4759,truck
13,4763,car
15,4767,car
16,4768,truck
17,4771,truck
23,4778,truck
25,4781,car
26,4782,car
27,4783,car
3,4803,car
13,4813,car
13,4815,car
13,4816,car
14,4819,truck
17,4822,truck
37,4834,car
37,4836,truck
37,4837,truck
37,4839,car
51,4844,car
53,4846,truck
3,4847,car
3,4848,car
3,4849,car
3,4850,bus
3,4851,car
3,4852,car
3,4853,car
3,4854,car
3,4856,car
3,4861,car
3,4862,car
4,4863,car
4,4864,car
4,4865,car
11,4877,car
12,4878,car
12,4879,car
14,4881,car
15,4883,car
16,4886,car
19,4890,car
20,4891,car
27,4898,bus
28,4900,car
41,4903,car
53,4909,car
7,4914,truck
22,4919,truck
33,4930,truck
40,4934,car
40,4935,truck
52,4939,car
5,4940,truck
6,4941,car
6,4942,car
6,4943,car
6,4944,car
6,4945,car
6,4946,car
6,4947,car
6,4948,car
6,4949,truck
8,4953,car
8,4954,truck
11,4958,car
40,4965,car
3,4968,car
3,4969,car
3,4971,car
3,4972,car
5,4974,car
14,4982,car
16,4986,car
18,4987,car
23,4990,car
25,4992,car
26,4993,car
31,4999,car
36,5002,truck
38,5003,car
42,5007,car
43,5008,car
47,5010,car
4,5019,car
4,5020,car
11,5026,car
23,5032,truck
24,5033,truck
26,5035,car
34,5037,car
36,5038,car
48,5045,car
1,5050,car
3,5056,car
3,5060,car
3,5063,car
4,5066,car
7,5071,car
7,5073,car
9,5077,car
12,5080,car
15,5083,car
16,5084,car
19,5091,car
28,5098,car
36,5104,car
36,5105,car
36,5108,car
43,5114,car
43,5116,car
43,5117,truck
48,5120,car
5,5128,truck
5,5129,truck
5,5130,truck
5,5131,car
5,5135,car
5,5136,car
5,5137,car
5,5138,car
8,5140,car
8,5141,car
10,5144,car
14,5149,car
15,5151,car
16,5152,truck
23,5162,car
23,5163,car
25,5165,car
32,5172,car
39,5174,car
45,5176,car
46,5177,car
51,5179,car
3,5181,car
3,5182,truck
3,5183,car
3,5184,car
3,5186,car
3,5187,car
3,5188,car
3,5189,car
3,5190,car
4,5192,car
7,5196,car
18,5203,car
20,5204,car
20,5205,car
27,5209,car
34,5213,car
34,5214,truck
44,5219,truck
48,5221,car
51,5224,car
53,5225,truck
3,5229,car
6,5234,car
19,5242,car
26,5247,car
30,5248,car
31,5249,car
45,5252,car
50,5258,car
50,5259,car
8,5261,truck
8,5265,truck
8,5266,car
11,5271,person
15,5274,car
15,5275,car
46,5286,car
46,5289,truck
3,5300,car
4,5304,car
5,5307,car
7,5310,car
8,5311,car
9,5313,car
10,5314,car
10,5315,car
10,5317,car
17,5325,truck
19,5329,car
19,5330,car
25,5343,truck
